id,user_input,trigger,action_1,action_2,action_3
1,"When a customer signs up, send a Slack notification, send an email and create a CRM record.",User Signup,Notify Slack,Send Email,Update CRM
2,"When a new user registers, store the record, notify the customer by email and update the CRM.",User Signup,Save to Database,Send Email,Update CRM
3,"After user registration, send an email.",User Signup,Send Email,,
4,"Whenever someone creates an account, send an email notification.",User Signup,Send Email,,
5,"Once registration is completed, create a CRM record.",User Signup,Update CRM,,
6,"When a new account is created, store the information in the database and notify the customer by email.",User Signup,Save to Database,Send Email,
7,"After a customer registers, store the information in the database and email the customer.",User Signup,Save to Database,Send Email,
8,"Whenever a user signs up, notify the customer by email.",User Signup,Send Email,,
9,"On successful registration, save the data to the database.",User Signup,Save to Database,,
10,"Every time a customer creates an account, send a Slack alert, save the customer details and notify the customer by email.",User Signup,Notify Slack,Save to Database,Send Email
11,"When a customer signs up, store the record.",User Signup,Save to Database,,
12,"When a new user registers, notify the Slack channel and save the customer details.",User Signup,Notify Slack,Save to Database,
13,"After user registration, send a Slack notification, send a welcome email and update the customer profile in the CRM.",User Signup,Notify Slack,Send Email,Update CRM
14,"Whenever someone creates an account, save the data to the database and create a CRM record.",User Signup,Save to Database,Update CRM,
15,"Once registration is completed, save the data to the database and send a welcome email.",User Signup,Save to Database,Send Email,
16,"When a new account is created, send a Slack notification, insert the record into the database and notify the customer by email.",User Signup,Notify Slack,Save to Database,Send Email
17,"After a customer registers, alert the team on Slack and save the customer details.",User Signup,Notify Slack,Save to Database,
18,"Whenever a user signs up, email the customer.",User Signup,Send Email,,
19,"On successful registration, store the information in the database and send an email notification.",User Signup,Save to Database,Send Email,
20,"Every time a customer creates an account, post a message to Slack, insert the record into the database and send an email.",User Signup,Notify Slack,Save to Database,Send Email
21,"When a customer signs up, send a Slack alert and send an email notification.",User Signup,Notify Slack,Send Email,
22,"When a new user registers, insert the record into the database and save the customer in the CRM.",User Signup,Save to Database,Update CRM,
23,"After user registration, send a Slack alert.",User Signup,Notify Slack,,
24,"Whenever someone creates an account, send a welcome email and create a CRM record.",User Signup,Send Email,Update CRM,
